Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p64.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p64.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 13382 entries
Loaded validation dataset with 7528 entries
Step 0 - training loss: 0.006753366906195879
Step 1000 - training loss: 23.09172821044922
Step 2000 - training loss: 15.673360824584961
Step 3000 - training loss: 13.121957778930664
Step 4000 - training loss: 11.421653747558594
Step 5000 - training loss: 10.325311660766602
Step 6000 - training loss: 8.768784523010254
Step 7000 - training loss: 8.707826614379883
Step 8000 - training loss: 7.874803066253662
Step 9000 - training loss: 7.386491298675537
Step 10000 - training loss: 7.379666805267334
Step 11000 - training loss: 6.923300743103027
Step 12000 - training loss: 5.79009485244751
Step 13000 - training loss: 5.345523834228516
Step 14000 - training loss: 5.276067733764648
Step 15000 - training loss: 4.583760738372803
Step 16000 - training loss: 5.032521724700928
Step 17000 - training loss: 4.374217987060547
Step 18000 - training loss: 4.106994152069092
Step 19000 - training loss: 3.848585367202759
Step 20000 - training loss: 3.6073992252349854
Step 21000 - training loss: 3.449631690979004
Step 22000 - training loss: 3.4276740550994873
Step 23000 - training loss: 3.3617725372314453
Step 24000 - training loss: 3.1167869567871094
Step 25000 - training loss: 2.955953598022461
Step 26000 - training loss: 2.999669313430786
Step 27000 - training loss: 3.0536441802978516
Step 28000 - training loss: 3.1135032176971436
Step 29000 - training loss: 2.294908285140991
Step 30000 - training loss: 2.293302059173584
Step 31000 - training loss: 2.2249252796173096
Step 32000 - training loss: 2.201575517654419
Step 33000 - training loss: 1.7507983446121216
Step 34000 - training loss: 1.9216731786727905
Step 35000 - training loss: 2.1979031562805176
Step 36000 - training loss: 1.9338358640670776
Step 37000 - training loss: 1.65883207321167
Step 38000 - training loss: 1.7532086372375488
Step 39000 - training loss: 1.1925809383392334
Step 40000 - training loss: 1.701258659362793
Step 41000 - training loss: 1.5228488445281982
Step 42000 - training loss: 2.093181610107422
Step 43000 - training loss: 1.3450489044189453
Step 44000 - training loss: 1.490502953529358
Step 45000 - training loss: 1.2917823791503906
Step 46000 - training loss: 1.2111934423446655
Step 47000 - training loss: 1.324562430381775
Step 48000 - training loss: 1.0848006010055542
Step 49000 - training loss: 1.2727347612380981
Step 50000 - training loss: 1.2633408308029175
Step 51000 - training loss: 1.181138277053833
Step 52000 - training loss: 1.0165421962738037
Step 53000 - training loss: 0.8262516260147095
Step 54000 - training loss: 0.7565249800682068
Step 55000 - training loss: 1.3589367866516113
Step 56000 - training loss: 0.6660838723182678
Step 57000 - training loss: 0.8720689415931702
Step 58000 - training loss: 0.9832178354263306
Step 59000 - training loss: 0.591035008430481
Step 60000 - training loss: 1.2158180475234985
Step 61000 - training loss: 0.9525030851364136
Step 62000 - training loss: 0.9311270117759705
Step 63000 - training loss: 0.7209435105323792
Step 64000 - training loss: 0.5640934109687805
Step 65000 - training loss: 0.9849969148635864
Step 66000 - training loss: 0.5147082209587097
Step 67000 - training loss: 0.6673870086669922
Step 68000 - training loss: 0.6033211946487427
Step 69000 - training loss: 0.6253008842468262
Step 70000 - training loss: 0.614353597164154
Step 71000 - training loss: 0.35782769322395325
Step 72000 - training loss: 0.6926525235176086
