Starting SCAN training
Namespace(model='gru', train='../data/SCAN/length_split/tasks_train_length.txt', valid='../data/SCAN/length_split/tasks_test_length.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=105000, lr=0.001, hidden_dim=50, layers=1, dropout=0.5, clip=5, use_attention=True, verbose=False, use_oracle=True, teacher_forcing_ratio=0.5, log_target_probs=True, seed=None)
----------
Loaded train dataset with 16990 entries
Loaded validation dataset with 3920 entries
Step 0 - training loss: 0.028672683984041214
Step 1000 - training loss: 16.09076690673828
Step 2000 - training loss: 12.166888236999512
Step 3000 - training loss: 9.772286415100098
Step 4000 - training loss: 8.243864059448242
Step 5000 - training loss: 7.875185966491699
Step 6000 - training loss: 6.898510456085205
Step 7000 - training loss: 6.379533767700195
Step 8000 - training loss: 6.187752723693848
Step 9000 - training loss: 5.926804065704346
Step 10000 - training loss: 5.6471476554870605
Step 11000 - training loss: 4.934225559234619
Step 12000 - training loss: 5.015063762664795
Step 13000 - training loss: 5.396340370178223
Step 14000 - training loss: 4.383368492126465
Step 15000 - training loss: 4.4697346687316895
Step 16000 - training loss: 3.9049389362335205
Step 17000 - training loss: 4.046339511871338
Step 18000 - training loss: 3.8238720893859863
Step 19000 - training loss: 3.6220145225524902
Step 20000 - training loss: 3.22693133354187
Step 21000 - training loss: 3.3466954231262207
Step 22000 - training loss: 3.477365732192993
Step 23000 - training loss: 3.3911964893341064
Step 24000 - training loss: 2.4353103637695312
Step 25000 - training loss: 2.6117517948150635
Step 26000 - training loss: 2.6485626697540283
Step 27000 - training loss: 2.8087189197540283
Step 28000 - training loss: 2.1717796325683594
Step 29000 - training loss: 2.0042724609375
Step 30000 - training loss: 2.0717403888702393
Step 31000 - training loss: 2.64567232131958
Step 32000 - training loss: 1.870755672454834
Step 33000 - training loss: 2.235699415206909
Step 34000 - training loss: 1.7513153553009033
Step 35000 - training loss: 1.5665688514709473
Step 36000 - training loss: 1.5229482650756836
Step 37000 - training loss: 1.5676764249801636
Step 38000 - training loss: 1.9283472299575806
Step 39000 - training loss: 1.680243730545044
Step 40000 - training loss: 1.4356979131698608
Step 41000 - training loss: 1.0795068740844727
Step 42000 - training loss: 1.7566354274749756
Step 43000 - training loss: 1.3011870384216309
Step 44000 - training loss: 1.6058893203735352
Step 45000 - training loss: 1.3428683280944824
Step 46000 - training loss: 1.2913789749145508
Step 47000 - training loss: 1.3338907957077026
Step 48000 - training loss: 1.4032905101776123
Step 49000 - training loss: 1.0909972190856934
Step 50000 - training loss: 1.2811801433563232
Step 51000 - training loss: 1.2407642602920532
Step 52000 - training loss: 1.172689437866211
Step 53000 - training loss: 0.8444223403930664
Step 54000 - training loss: 0.9163042902946472
Step 55000 - training loss: 0.8882888555526733
Step 56000 - training loss: 0.8436329364776611
Step 57000 - training loss: 1.1494407653808594
