Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p4.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p4.txt', name='last_model.pt', device='cuda', bsz=1, steps=100000, eval_interval=25000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 836 entries
Loaded validation dataset with 20074 entries
Step 0 - training loss: 0.002205068478360772
Step 1000 - training loss: 1.5237197875976562
Step 2000 - training loss: 1.1071757078170776
Step 3000 - training loss: 0.9238612055778503
Step 4000 - training loss: 0.7566503286361694
Step 5000 - training loss: 0.6741689443588257
Step 6000 - training loss: 0.5714921951293945
Step 7000 - training loss: 0.5345951318740845
Step 8000 - training loss: 0.47429826855659485
Step 9000 - training loss: 0.4486129879951477
Step 10000 - training loss: 0.40267616510391235
Step 11000 - training loss: 0.3799140453338623
Step 12000 - training loss: 0.35639676451683044
Step 13000 - training loss: 0.34449678659439087
Step 14000 - training loss: 0.3217688798904419
Step 15000 - training loss: 0.295363187789917
Step 16000 - training loss: 0.258774995803833
Step 17000 - training loss: 0.2579594552516937
Step 18000 - training loss: 0.23808586597442627
Step 19000 - training loss: 0.23376800119876862
Step 20000 - training loss: 0.22298960387706757
Step 21000 - training loss: 0.2184377759695053
Step 22000 - training loss: 0.19149968028068542
Step 23000 - training loss: 0.17969854176044464
Step 24000 - training loss: 0.1774786412715912
Step 25000 - running eval...
Step 25000 - Eval_acc: 49.51 % over 20074 data points (max 49.51180631662847).
Step 25000 - training loss: 0.1837776005268097
Step 26000 - training loss: 0.1690894514322281
Step 27000 - training loss: 0.1477748304605484
Step 28000 - training loss: 0.15731151401996613
Step 29000 - training loss: 0.16423378884792328
Step 30000 - training loss: 0.13889598846435547
Step 31000 - training loss: 0.14708606898784637
Step 32000 - training loss: 0.13735251128673553
Step 33000 - training loss: 0.12962010502815247
Step 34000 - training loss: 0.12502598762512207
Step 35000 - training loss: 0.11842581629753113
Step 36000 - training loss: 0.11283926665782928
Step 37000 - training loss: 0.09955060482025146
Step 38000 - training loss: 0.12245536595582962
Step 39000 - training loss: 0.10291733592748642
Step 40000 - training loss: 0.12210191786289215
Step 41000 - training loss: 0.10320085287094116
Step 42000 - training loss: 0.12018946558237076
Step 43000 - training loss: 0.10935000330209732
Step 44000 - training loss: 0.09437403827905655
Step 45000 - training loss: 0.10200575739145279
Step 46000 - training loss: 0.08014792203903198
Step 47000 - training loss: 0.08038094639778137
Step 48000 - training loss: 0.07979339361190796
Step 49000 - training loss: 0.063649483025074
Step 50000 - running eval...
Step 50000 - Eval_acc: 64.98 % over 20074 data points (max 64.98455713858722).
Step 50000 - training loss: 0.06914672255516052
Step 51000 - training loss: 0.08900538831949234
Step 52000 - training loss: 0.06808943301439285
Step 53000 - training loss: 0.08583389967679977
Step 54000 - training loss: 0.08365198969841003
Step 55000 - training loss: 0.06383343786001205
Step 56000 - training loss: 0.06522572040557861
Step 57000 - training loss: 0.06873860955238342
Step 58000 - training loss: 0.05233808979392052
Step 59000 - training loss: 0.0789615586400032
Step 60000 - training loss: 0.05925087258219719
Step 61000 - training loss: 0.05985838174819946
Step 62000 - training loss: 0.05300164222717285
Step 63000 - training loss: 0.06028805300593376
Step 64000 - training loss: 0.04926294833421707
Step 65000 - training loss: 0.044611699879169464
Step 66000 - training loss: 0.04461595416069031
Step 67000 - training loss: 0.06316639482975006
Step 68000 - training loss: 0.04768238961696625
Step 69000 - training loss: 0.051629841327667236
Step 70000 - training loss: 0.060795754194259644
Step 71000 - training loss: 0.05325581133365631
Step 72000 - training loss: 0.04560528323054314
Step 73000 - training loss: 0.05153214558959007
Step 74000 - training loss: 0.03620621934533119
Step 75000 - running eval...
Step 75000 - Eval_acc: 75.44 % over 20074 data points (max 75.44086878549368).
Step 75000 - training loss: 0.05673309043049812
Step 76000 - training loss: 0.05002768337726593
Step 77000 - training loss: 0.05616260692477226
Step 78000 - training loss: 0.03956105560064316
Step 79000 - training loss: 0.037043921649456024
Step 80000 - training loss: 0.05301021412014961
Step 81000 - training loss: 0.06294383853673935
Step 82000 - training loss: 0.05130109190940857
Step 83000 - training loss: 0.0360720120370388
Step 84000 - training loss: 0.0351526141166687
Step 85000 - training loss: 0.033377327024936676
Step 86000 - training loss: 0.0357653871178627
Step 87000 - training loss: 0.0475924126803875
Step 88000 - training loss: 0.03982451185584068
Step 89000 - training loss: 0.036010369658470154
Step 90000 - training loss: 0.025664210319519043
Step 91000 - training loss: 0.028565019369125366
Step 92000 - training loss: 0.04505785554647446
Step 93000 - training loss: 0.04380789399147034
Step 94000 - training loss: 0.04227617010474205
Step 95000 - training loss: 0.031006887555122375
Step 96000 - training loss: 0.03136465698480606
Step 97000 - training loss: 0.024036956951022148
Step 98000 - training loss: 0.02602488175034523
Step 99000 - training loss: 0.03601204603910446
Step 100000 - running eval...
Step 100000 - Eval_acc: 77.18 % over 20074 data points (max 77.17943608648002).
Finished - running eval...
