Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/length_split/tasks_train_length.txt', valid='../data/SCAN/length_split/tasks_test_length.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=105000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=True, teacher_forcing_ratio=0.5, log_target_probs=True, seed=None)
----------
Loaded train dataset with 16990 entries
Loaded validation dataset with 3920 entries
Step 0 - training loss: 0.02824341133236885
Step 1000 - training loss: 18.269662857055664
Step 2000 - training loss: 13.646384239196777
Step 3000 - training loss: 11.217906951904297
Step 4000 - training loss: 9.23762321472168
Step 5000 - training loss: 7.649928569793701
Step 6000 - training loss: 6.803601264953613
Step 7000 - training loss: 5.884329795837402
Step 8000 - training loss: 5.703805923461914
Step 9000 - training loss: 4.934129238128662
Step 10000 - training loss: 4.311285018920898
Step 11000 - training loss: 4.230632781982422
Step 12000 - training loss: 4.249791145324707
Step 13000 - training loss: 3.9808743000030518
Step 14000 - training loss: 3.6407313346862793
Step 15000 - training loss: 3.4164416790008545
Step 16000 - training loss: 3.016021490097046
Step 17000 - training loss: 2.652022361755371
Step 18000 - training loss: 2.768000602722168
Step 19000 - training loss: 2.6612329483032227
Step 20000 - training loss: 2.8663525581359863
Step 21000 - training loss: 2.5922293663024902
Step 22000 - training loss: 2.2753772735595703
Step 23000 - training loss: 2.1092982292175293
Step 24000 - training loss: 2.4566195011138916
Step 25000 - training loss: 1.6650136709213257
Step 26000 - training loss: 1.9740417003631592
Step 27000 - training loss: 1.5582584142684937
Step 28000 - training loss: 1.6854257583618164
Step 29000 - training loss: 1.5651953220367432
Step 30000 - training loss: 1.7656573057174683
Step 31000 - training loss: 1.3933995962142944
Step 32000 - training loss: 1.3460346460342407
Step 33000 - training loss: 1.4097634553909302
Step 34000 - training loss: 1.14521062374115
Step 35000 - training loss: 1.0087493658065796
Step 36000 - training loss: 0.9267219305038452
Step 37000 - training loss: 0.9797227382659912
Step 38000 - training loss: 1.1295546293258667
Step 39000 - training loss: 0.9017367362976074
Step 40000 - training loss: 0.7917840480804443
Step 41000 - training loss: 0.9647613763809204
Step 42000 - training loss: 0.9004444479942322
Step 43000 - training loss: 0.6367049217224121
Step 44000 - training loss: 0.8027452230453491
Step 45000 - training loss: 0.7776644825935364
Step 46000 - training loss: 0.8651989102363586
Step 47000 - training loss: 0.6322163343429565
Step 48000 - training loss: 0.6761695146560669
Step 49000 - training loss: 0.5541172623634338
Step 50000 - training loss: 0.5383532047271729
Step 51000 - training loss: 0.41906753182411194
Step 52000 - training loss: 0.48832976818084717
Step 53000 - training loss: 0.4991658329963684
Step 54000 - training loss: 0.6367097496986389
Step 55000 - training loss: 0.5463417768478394
Step 56000 - training loss: 0.4529397189617157
Step 57000 - training loss: 0.4026884138584137
Step 58000 - training loss: 0.5199319124221802
Step 59000 - training loss: 0.564067006111145
Step 60000 - training loss: 0.33114445209503174
Step 61000 - training loss: 0.5152610540390015
Step 62000 - training loss: 0.493020623922348
Step 63000 - training loss: 0.4484780728816986
Step 64000 - training loss: 0.6666308045387268
Step 65000 - training loss: 0.4186026453971863
Step 66000 - training loss: 0.41764748096466064
Step 67000 - training loss: 0.25518521666526794
Step 68000 - training loss: 0.3643687069416046
Step 69000 - training loss: 0.46068742871284485
Step 70000 - training loss: 0.6677019000053406
Step 71000 - training loss: 0.27602532505989075
Step 72000 - training loss: 0.29049521684646606
Step 73000 - training loss: 0.2744101881980896
Step 74000 - training loss: 0.52001953125
Step 75000 - training loss: 0.25788092613220215
Step 76000 - training loss: 0.5074867010116577
Step 77000 - training loss: 0.4146181643009186
Step 78000 - training loss: 0.2542347013950348
Step 79000 - training loss: 0.3858131766319275
Step 80000 - training loss: 0.375433087348938
Step 81000 - training loss: 0.4925878345966339
Step 82000 - training loss: 0.26558995246887207
Step 83000 - training loss: 0.4035370349884033
Step 84000 - training loss: 0.3498452603816986
Step 85000 - training loss: 0.20572417974472046
Step 86000 - training loss: 0.1768742948770523
Step 87000 - training loss: 0.3967024087905884
Step 88000 - training loss: 0.5847525596618652
Step 89000 - training loss: 0.18777590990066528
Step 90000 - training loss: 0.2760410010814667
Step 91000 - training loss: 0.3202243149280548
Step 92000 - training loss: 0.1933901160955429
Step 93000 - training loss: 0.18479202687740326
Step 94000 - training loss: 0.22050046920776367
Step 95000 - training loss: 0.3463342487812042
Step 96000 - training loss: 0.2769351303577423
Step 97000 - training loss: 0.24770304560661316
Step 98000 - training loss: 0.3134724497795105
Step 99000 - training loss: 0.4713115990161896
Finished - running eval...
